,shortName,playerName,team,position,averageCushion,averageSeparation,averageTargetedAirYards,shareOfTeamAirYards,receptions,targets,catchPercentage,receivingYards,receivingTouchdowns,avgYAC,expectedAvgYAC,avgYACAboveExpectation,season,seasonType,week,gameId
913,R.Griffin,Ryan Griffin,HOU,TE,7.9,3.4,5.8,6.24,4,5,80,36,0,3.3,3.9,-0.7,2016,REG,12,2016112705
914,M.Bennett,Martellus Bennett,NE,TE,7.8,3.8,1.5,2.04,3,5,60,22,0,7.5,7.2,0.3,2016,REG,12,2016112711
915,J.Crowder,Jamison Crowder,WAS,WR,7.8,4.7,5,10.21,8,10,80,88,0,6.7,6.3,0.4,2016,REG,12,2016112401
916,A.Brown,Antonio Brown,PIT,WR,7.8,2.7,22.1,36.15,5,6,83.33,91,3,2.2,2.3,-0.1,2016,REG,12,2016112402
917,C.Brate,Cameron Brate,TB,TE,7.6,6,8.7,12.93,4,5,80,49,0,4.3,4.9,-0.6,2016,REG,12,2016112708
918,C.Hogan,Chris Hogan,NE,WR,7.5,4.5,10.5,14.43,4,5,80,70,0,5.8,5.4,0.4,2016,REG,12,2016112711
919,M.Crabtree,Michael Crabtree,OAK,WR,7.5,2.7,11.9,45.44,8,13,61.54,110,0,6.1,6.2,-0.1,2016,REG,12,2016112710
920,G.Tate,Golden Tate,DET,WR,7.5,2.2,13.5,22.39,5,7,71.43,77,0,8.3,4.2,4,2016,REG,12,2016112400
921,K.Rudolph,Kyle Rudolph,MIN,TE,7.3,2.6,5,40.07,9,10,90,64,0,2.4,3.5,-1.1,2016,REG,12,2016112400
922,J.Kearse,Jermaine Kearse,SEA,WR,7.2,1.7,15.8,21.12,1,5,20,18,0,-1.1,-0.6,-0.5,2016,REG,12,2016112708
923,V.McDonald,Vance McDonald,SF,TE,7.2,1.9,15.4,31.3,4,8,50,60,0,5.9,7.7,-1.7,2016,REG,12,2016112706
924,M.Lee,Marqise Lee,JAX,WR,7.2,2.1,10.5,24.34,4,6,66.67,37,1,0.3,2.1,-1.8,2016,REG,12,2016112702
925,M.Evans,Mike Evans,TB,WR,7.2,2.1,12.6,41.39,8,11,72.73,104,2,2.8,2.7,0,2016,REG,12,2016112708
926,D.Inman,Dontrelle Inman,LAC,WR,7,3.4,14.8,29.71,6,6,100,119,1,5,6.4,-1.4,2016,REG,12,2016112705
927,P.Dorsett,Phillip Dorsett,IND,WR,7,2,14.2,21.04,3,6,50,31,0,0.2,1.4,-1.2,2016,REG,12,2016112402
928,R.Matthews,Rishard Matthews,TEN,WR,6.9,1.8,16.9,38.26,3,7,42.86,64,1,5.5,2.1,3.5,2016,REG,12,2016112703
929,W.Snead,Willie Snead,NO,WR,6.7,3,5.2,16.16,5,7,71.43,38,0,5.9,6,-0.1,2016,REG,12,2016112707
930,R.Cobb,Randall Cobb,GB,WR,6.6,4.8,1.4,3.35,6,7,85.71,41,0,7.1,6.9,0.2,2016,REG,12,2016112800
931,R.Streater,Rod Streater,SF,WR,6.6,3.2,3.9,4.93,4,5,80,46,0,8.3,5.3,3,2016,REG,12,2016112706
932,A.Thielen,Adam Thielen,MIN,WR,6.6,3.4,3.2,28.55,8,11,72.73,53,0,4.2,5.3,-1.1,2016,REG,12,2016112400
933,D.Pitta,Dennis Pitta,BAL,TE,6.5,1.5,8.1,19.08,3,5,60,34,0,1.9,2.7,-0.8,2016,REG,12,2016112701
934,Z.Ertz,Zach Ertz,PHI,TE,6.4,3.2,12.1,31.22,3,6,50,36,0,0.8,3.4,-2.6,2016,REG,12,2016112800
935,T.Kelce,Travis Kelce,KC,TE,6.4,2.7,6.5,42.52,8,15,53.33,101,0,6.3,4.8,1.4,2016,REG,12,2016112709
936,D.Moncrief,Donte Moncrief,IND,WR,6.4,2.7,13,35.51,6,11,54.55,45,1,4.4,4.5,-0.1,2016,REG,12,2016112402
937,T.Boyd,Tyler Boyd,CIN,WR,6.4,2.3,8,19.4,5,9,55.56,62,0,2.9,3.4,-0.5,2016,REG,12,2016112701
938,M.Sanu,Mohamed Sanu,ATL,WR,6.4,3.2,3.7,14.94,8,8,100,65,0,4.4,7.6,-3.2,2016,REG,12,2016112700
939,J.Graham,Jimmy Graham,SEA,TE,6.4,2.9,8.4,15.71,6,7,85.71,67,0,3.2,3.9,-0.7,2016,REG,12,2016112708
940,J.Bellamy,Josh Bellamy,CHI,WR,6.4,2.1,10.5,18.64,4,9,44.44,41,0,1.9,2.8,-0.9,2016,REG,12,2016112703
941,G.Olsen,Greg Olsen,CAR,TE,6.3,3.6,11.6,14.79,4,5,80,45,0,3,6.1,-3.2,2016,REG,12,2016112710
942,A.Wilson,Albert Wilson,KC,WR,6.2,2.8,7.4,19.18,2,6,33.33,6,0,3.4,4.6,-1.3,2016,REG,12,2016112709
943,K.Britt,Kenny Britt,LA,WR,6.2,3.2,12.5,51.5,5,10,50,52,1,2.7,1.7,1,2016,REG,12,2016112707
944,T.Williams,Tyrell Williams,LAC,WR,6.1,1.6,11,51.77,8,14,57.14,70,1,2.9,4.2,-1.3,2016,REG,12,2016112705
945,T.Ginn,Ted Ginn,CAR,WR,6,3,16.7,42.71,4,10,40,115,1,15.2,10.6,4.6,2016,REG,12,2016112710
946,A.Cooper,Amari Cooper,OAK,WR,5.9,3,6.8,13.93,4,7,57.14,22,0,3.1,4.7,-1.6,2016,REG,12,2016112710
947,C.Fiedorowicz,C.J. Fiedorowicz,HOU,TE,5.9,2.7,8.9,11.47,4,6,66.67,42,0,2.6,2.8,-0.1,2016,REG,12,2016112705
948,K.Benjamin,Kelvin Benjamin,CAR,WR,5.9,2.4,22.9,34.99,2,6,33.33,53,1,0.5,0.7,-0.3,2016,REG,12,2016112710
949,W.Fuller,Will Fuller,HOU,WR,5.7,3,18.1,23.19,4,6,66.67,60,0,2.9,5.4,-2.5,2016,REG,12,2016112705
950,C.Beasley,Cole Beasley,DAL,WR,5.7,2.3,8.9,19.59,5,6,83.33,56,0,4,5.5,-1.6,2016,REG,12,2016112401
951,J.Gresham,Jermaine Gresham,ARI,TE,5.6,2.9,9.2,20.62,5,10,50,35,1,0.9,2.3,-1.5,2016,REG,12,2016112700
952,T.Gabriel,Taylor Gabriel,ATL,WR,5.6,3,2.1,5.22,4,5,80,75,2,17.7,6.6,11.1,2016,REG,12,2016112700
953,D.Allen,Dwayne Allen,IND,TE,5.6,2.7,8.1,12.05,5,6,83.33,49,0,2.6,2.5,0.1,2016,REG,12,2016112402
954,A.Boldin,Anquan Boldin,DET,WR,5.5,3.3,7.2,15.28,7,9,77.78,69,1,4.2,4.1,0.1,2016,REG,12,2016112400
955,J.Nelson,Jordy Nelson,GB,WR,5.5,3.7,14.8,62.91,8,12,66.67,91,0,2.7,5.7,-3,2016,REG,12,2016112800
956,J.Reed,Jordan Reed,WAS,TE,5.4,3.2,9.3,22.72,10,12,83.33,95,2,0.8,2.6,-1.8,2016,REG,12,2016112401
957,L.Kendricks,Lance Kendricks,LA,TE,5.4,3,8.7,25.09,4,7,57.14,51,1,2.3,4.8,-2.5,2016,REG,12,2016112707
958,T.Hilton,T.Y. Hilton,IND,WR,5.4,2.2,20.3,25.09,3,5,60,54,0,3.1,3.8,-0.6,2016,REG,12,2016112402
959,M.Thomas,Michael Thomas,NO,WR,5.4,2.6,8.6,38.42,9,10,90,108,2,5.4,5.2,0.2,2016,REG,12,2016112707
960,C.Coleman,Corey Coleman,CLE,WR,5.3,3,16,24.92,3,7,42.86,38,1,4.5,4.6,0,2016,REG,12,2016112704
961,A.Hurns,Allen Hurns,JAX,WR,5.3,2.5,12.3,33.02,1,7,14.29,12,1,14.7,11.6,3.1,2016,REG,12,2016112702
962,B.LaFell,Brandon LaFell,CIN,WR,5.2,2.3,12.3,29.66,3,9,33.33,38,0,5.9,8.4,-2.6,2016,REG,12,2016112701
963,C.Patterson,Cordarrelle Patterson,MIN,WR,5,2.8,1.5,6.19,5,5,100,15,0,1.5,2.1,-0.7,2016,REG,12,2016112400
964,C.Meredith,Cameron Meredith,CHI,WR,5,1.2,10.1,17.78,2,9,22.22,19,0,0.5,2.5,-2,2016,REG,12,2016112703
965,E.Sanders,Emmanuel Sanders,DEN,WR,5,1.9,18.2,45.23,7,10,70,162,1,5.6,5.2,0.4,2016,REG,12,2016112709
966,T.Pryor,Terrelle Pryor,CLE,WR,4.9,2.5,18.5,49.43,6,12,50,131,0,1.4,7,-5.7,2016,REG,12,2016112704
967,J.Hill,Josh Hill,NO,TE,4.9,2.7,4.2,11.21,6,6,100,74,0,8.1,6.7,1.5,2016,REG,12,2016112707
968,V.Davis,Vernon Davis,WAS,TE,4.8,4.9,9.2,13.1,5,7,71.43,68,0,7.2,8,-0.8,2016,REG,12,2016112401
969,D.Parker,DeVante Parker,MIA,WR,4.7,2.1,23.7,42.31,3,6,50,64,0,1.7,2.6,-0.9,2016,REG,12,2016112706
970,J.Wright,James Wright,CIN,WR,4.6,1.3,10.3,16.63,3,6,50,23,0,1.7,2.7,-1,2016,REG,12,2016112701
971,M.Floyd,Michael Floyd,ARI,WR,4.6,2.6,22.7,25.42,2,5,40,31,0,1.4,2.4,-0.9,2016,REG,12,2016112700
972,K.Stills,Kenny Stills,MIA,WR,4.4,1.6,17.1,30.59,3,6,50,72,1,8,4,4,2016,REG,12,2016112706
973,J.Jones,Julio Jones,ATL,WR,4.4,1.9,10.9,38.24,4,7,57.14,35,0,1.6,2.2,-0.5,2016,REG,12,2016112700
974,D.Hopkins,DeAndre Hopkins,HOU,WR,4.2,1.7,17,36.33,5,10,50,70,0,5.5,5.4,0.2,2016,REG,12,2016112705
975,D.Thompson,Deonte Thompson,CHI,WR,4.2,2,12.7,22.44,5,9,55.56,44,1,1.6,1.6,0,2016,REG,12,2016112703
976,O.Beckham,Odell Beckham,NYG,WR,4.1,1.9,12.6,35.33,6,11,54.55,96,2,9.8,2.7,7.2,2016,REG,12,2016112704
977,T.Smith,Torrey Smith,SF,WR,3.8,1.5,11,19.68,3,7,42.86,24,1,0.6,4.1,-3.6,2016,REG,12,2016112706
978,V.Cruz,Victor Cruz,NYG,WR,3.8,2.4,22.5,28.6,1,5,20,37,0,7,8.3,-1.3,2016,REG,12,2016112704
979,M.Jones,Marvin Jones,DET,WR,3.7,1.7,13.7,35.77,4,11,36.36,54,0,2.1,3.9,-1.8,2016,REG,12,2016112400
980,D.Adams,Davante Adams,GB,WR,3.6,3.1,15,31.82,5,6,83.33,113,2,6.7,6.6,0.1,2016,REG,12,2016112800
981,M.Mitchell,Malcolm Mitchell,NE,WR,3.4,2.3,14.4,27.71,5,7,71.43,42,2,1.8,5.3,-3.5,2016,REG,12,2016112711
982,J.Landry,Jarvis Landry,MIA,WR,3.4,2.4,9.9,20.61,4,7,57.14,47,0,2.9,2.5,0.4,2016,REG,12,2016112706
983,D.Thomas,Demaryius Thomas,DEN,WR,3.3,1.4,9.4,18.59,5,8,62.5,60,0,2.9,5,-2,2016,REG,12,2016112709
984,Q.Enunwa,Quincy Enunwa,NYJ,WR,3.2,2,20.2,30.92,5,5,100,109,1,3.1,6.8,-3.7,2016,REG,12,2016112711
985,M.Wilson,Marquess Wilson,CHI,WR,3.2,3.5,15.3,33.13,8,11,72.73,125,1,5.7,5.3,0.4,2016,REG,12,2016112703
986,B.Marshall,Brandon Marshall,NYJ,WR,2.7,1.7,13.8,37.94,6,9,66.67,67,1,2.1,7.8,-5.7,2016,REG,12,2016112711
987,D.Bryant,Dez Bryant,DAL,WR,2.7,1.2,13,33.31,5,7,71.43,72,0,1.8,2.8,-0.9,2016,REG,12,2016112401
988,T.Eifert,Tyler Eifert,CIN,TE,2.3,2.1,8.4,24.89,5,11,45.45,68,1,4.7,3.5,1.2,2016,REG,12,2016112701
989,J.Edelman,Julian Edelman,NE,WR,8.4,2.9,11.6,52.51,8,12,66.67,101,0,3.7,4.1,-0.3,2016,REG,13,2016120406
990,V.Davis,Vernon Davis,WAS,TE,8.4,2.8,7.8,15.84,5,6,83.33,47,0,2.6,2.9,-0.4,2016,REG,13,2016120409
991,K.Rudolph,Kyle Rudolph,MIN,TE,8.3,3.5,7.6,24.12,6,12,50,45,0,2.9,4.9,-2,2016,REG,13,2016120100
992,M.Crabtree,Michael Crabtree,OAK,WR,8.2,2.6,12.2,41.48,7,11,63.64,74,1,3.5,4,-0.5,2016,REG,13,2016120408
993,T.Hill,Tyreek Hill,KC,WR,7.8,3.6,5.2,16.03,5,6,83.33,53,0,7.4,3.9,3.6,2016,REG,13,2016120400
994,B.Cooks,Brandin Cooks,NO,WR,7.8,2.6,16.6,45.19,7,9,77.78,73,0,-0.5,1.2,-1.8,2016,REG,13,2016120407
995,L.Green,Ladarius Green,PIT,TE,7.7,3.4,12.4,60.49,6,11,54.55,110,1,6.4,5.9,0.5,2016,REG,13,2016120410
996,Z.Ertz,Zach Ertz,PHI,TE,7.6,3.1,9.7,29.83,9,15,60,79,1,2.4,4.2,-1.8,2016,REG,13,2016120403
997,N.Agholor,Nelson Agholor,PHI,WR,7.5,1,5.3,5.4,4,5,80,23,0,1.9,1.6,0.4,2016,REG,13,2016120403
998,S.Smith,Steve Smith,BAL,WR,7.5,2.5,3.9,15.14,6,10,60,53,0,3.1,4.3,-1.2,2016,REG,13,2016120401
999,T.Ginn,Ted Ginn,CAR,WR,7.4,4.4,13.5,18.4,5,6,83.33,80,1,2,1.9,0.2,2016,REG,13,2016120412
1000,A.Brown,Antonio Brown,PIT,WR,7.3,3.3,6,18.55,6,7,85.71,54,1,3.1,3.2,-0.1,2016,REG,13,2016120410
1001,T.Gabriel,Taylor Gabriel,ATL,WR,7.3,4,6,14,5,6,83.33,44,0,4.4,4.2,0.2,2016,REG,13,2016120400
1002,R.Anderson,Robby Anderson,NYJ,WR,7.3,2.7,20.9,54.4,4,12,33.33,61,1,2.3,2.9,-0.6,2016,REG,13,2016120500
1003,D.Pitta,Dennis Pitta,BAL,TE,7.2,3.7,4.7,20.13,9,11,81.82,90,2,4.7,4.9,-0.2,2016,REG,13,2016120401
1004,A.Seferian-Jenkins,Austin Seferian-Jenkins,NYJ,TE,7.2,1.2,10.8,11.67,2,5,40,29,0,2,4.1,-2.1,2016,REG,13,2016120500
1005,M.Mitchell,Malcolm Mitchell,NE,WR,7.1,2.9,6.3,23.76,8,10,80,82,0,3.7,3.2,0.5,2016,REG,13,2016120406
1006,A.Thielen,Adam Thielen,MIN,WR,7.1,3.1,11.9,28.17,7,9,77.78,86,0,3,6.4,-3.4,2016,REG,13,2016120100
1007,K.Stills,Kenny Stills,MIA,WR,7.1,2.4,10.4,21.71,2,5,40,21,0,3.1,3.5,-0.4,2016,REG,13,2016120401
1008,T.Hilton,T.Y. Hilton,IND,WR,7,3.5,11.1,53.06,9,10,90,146,0,4.6,5.5,-0.9,2016,REG,13,2016120500
1009,J.Landry,Jarvis Landry,MIA,WR,7,3.1,3.7,21.84,11,14,78.57,87,0,6.1,7,-0.8,2016,REG,13,2016120401
1010,O.Beckham,Odell Beckham,NYG,WR,7,2.6,10,50.26,10,16,62.5,100,0,1.4,3.2,-1.8,2016,REG,13,2016120410
1011,J.Nelson,Jordy Nelson,GB,WR,6.8,3.9,11.7,31.39,8,10,80,118,1,3.2,2.6,0.5,2016,REG,13,2016120404
1012,S.Roberts,Seth Roberts,OAK,WR,6.8,4.5,9.2,14.34,2,5,40,18,0,4.7,7.7,-3,2016,REG,13,2016120408
1013,W.Fuller,Will Fuller,HOU,WR,6.8,3.8,9.7,19.81,5,6,83.33,54,0,5.5,3.6,1.9,2016,REG,13,2016120404
1014,D.Green-Beckham,Dorial Green-Beckham,PHI,WR,6.7,2.2,11.6,23.86,4,10,40,29,0,0.8,2.5,-1.7,2016,REG,13,2016120403
1015,D.Baldwin,Doug Baldwin,SEA,WR,6.7,4.1,3.2,6.72,7,7,100,65,0,6,6.4,-0.4,2016,REG,13,2016120412
1016,C.Fleener,Coby Fleener,NO,TE,6.6,2.7,13,27.49,5,7,71.43,86,0,5.6,7,-1.4,2016,REG,13,2016120407
1017,M.Rivera,Mychal Rivera,OAK,TE,6.5,1.7,12.1,18.77,3,5,60,57,0,4.7,6,-1.3,2016,REG,13,2016120408
1018,L.Fitzgerald,Larry Fitzgerald,ARI,WR,6.4,3.2,2.9,9.91,10,11,90.91,78,0,5.9,5.7,0.2,2016,REG,13,2016120409
1019,C.D.Johnson,Charles D. Johnson,MIN,WR,6.4,2.3,16.4,21.61,3,5,60,36,0,1.2,4.2,-3,2016,REG,13,2016120100
1020,B.Marshall,Brandon Marshall,NYJ,WR,6.4,2.1,15.3,26.55,4,8,50,43,0,0.6,1.3,-0.7,2016,REG,13,2016120500
1021,T.Lockett,Tyler Lockett,SEA,WR,6.4,4,8.1,14.31,5,6,83.33,63,0,11.4,5.1,6.3,2016,REG,13,2016120412
1022,E.Sanders,Emmanuel Sanders,DEN,WR,6.3,2.3,16.1,49.03,3,9,33.33,28,0,3.9,2.9,1,2016,REG,13,2016120405
1023,M.Floyd,Michael Floyd,ARI,WR,6.2,2.6,10.3,25.28,3,8,37.5,18,1,2.7,3.3,-0.6,2016,REG,13,2016120409
1024,P.Turner,Paul Turner,PHI,WR,6.1,2.1,10.1,16.49,6,8,75,80,0,5.8,3.6,2.2,2016,REG,13,2016120403
1025,B.Quick,Brian Quick,LA,WR,6.1,2.6,8.4,25.26,5,8,62.5,48,0,2,2.8,-0.8,2016,REG,13,2016120406
1026,J.Kearse,Jermaine Kearse,SEA,WR,6.1,3,12.8,34.09,5,9,55.56,68,0,2.7,2,0.7,2016,REG,13,2016120412
1027,B.LaFell,Brandon LaFell,CIN,WR,6,1.5,18.5,43.38,5,7,71.43,95,1,1.7,2,-0.2,2016,REG,13,2016120403
1028,M.Thomas,Michael Thomas,NO,WR,6,3.4,8,12.1,4,5,80,42,0,4.9,5.1,-0.2,2016,REG,13,2016120407
1029,M.Goodwin,Marquise Goodwin,BUF,WR,5.9,3.3,17.5,41.45,4,8,50,35,0,-0.8,0.4,-1.2,2016,REG,13,2016120408
1030,M.Lee,Marqise Lee,JAX,WR,5.9,1.4,10.6,32.26,3,9,33.33,34,0,1.4,3,-1.6,2016,REG,13,2016120405
1031,G.Tate,Golden Tate,DET,WR,5.8,3.8,9.2,30.52,8,10,80,145,1,10.3,7.9,2.5,2016,REG,13,2016120407
1032,D.Moncrief,Donte Moncrief,IND,WR,5.8,2.8,4.9,14.18,4,6,66.67,26,1,1.5,0.8,0.7,2016,REG,13,2016120500
1033,S.Shepard,Sterling Shepard,NYG,WR,5.7,2.5,10.1,25.5,4,8,50,21,1,1.4,2.7,-1.3,2016,REG,13,2016120410
1034,C.Hogan,Chris Hogan,NE,WR,5.7,3.3,6.1,11.53,4,5,80,23,1,0.2,1.5,-1.3,2016,REG,13,2016120406
1035,T.Burton,Trey Burton,PHI,TE,5.7,2.5,12.7,23.33,5,9,55.56,53,0,0.4,2.4,-2.1,2016,REG,13,2016120403
1036,M.Evans,Mike Evans,TB,WR,5.6,1.7,10.1,20.53,3,6,50,38,0,3.4,3.1,0.3,2016,REG,13,2016120411
1037,J.Graham,Jimmy Graham,SEA,TE,5.6,3,11.9,31.83,6,9,66.67,63,1,4.9,5.3,-0.3,2016,REG,13,2016120412
1038,G.Olsen,Greg Olsen,CAR,TE,5.4,2.5,11.3,17.97,3,7,42.86,30,0,2.9,5.9,-3,2016,REG,13,2016120412
1039,S.Diggs,Stefon Diggs,MIN,WR,5.4,3.5,3.4,7.13,8,8,100,59,0,4,3.9,0.1,2016,REG,13,2016120100
1040,J.Crowder,Jamison Crowder,WAS,WR,5.4,3.5,6.7,18.09,3,8,37.5,42,1,4.5,3.9,0.6,2016,REG,13,2016120409
1041,S.Watkins,Sammy Watkins,BUF,WR,5.3,1.8,11.7,31.06,3,9,33.33,38,0,1.4,2.1,-0.7,2016,REG,13,2016120408
1042,M.Wallace,Mike Wallace,BAL,WR,5.1,2.7,9.9,27.13,6,7,85.71,59,0,1.5,3.7,-2.2,2016,REG,13,2016120401
1043,P.Garcon,Pierre Garcon,WAS,WR,5.1,2.9,8.6,26.21,7,9,77.78,78,0,5.5,4.7,0.8,2016,REG,13,2016120409
1044,D.Adams,Davante Adams,GB,WR,5.1,2.2,24,45.03,1,7,14.29,17,0,0.7,-1.5,2.2,2016,REG,13,2016120404
1045,D.Inman,Dontrelle Inman,LAC,WR,5,3.3,14.7,32.13,2,5,40,49,1,10.6,10.2,0.3,2016,REG,13,2016120411
1046,D.Hopkins,DeAndre Hopkins,HOU,WR,4.6,2.4,11.6,31.73,3,8,37.5,58,1,5.8,3.1,2.7,2016,REG,13,2016120404
1047,K.Benjamin,Kelvin Benjamin,CAR,WR,4.6,1.5,15.4,31.31,2,9,22.22,18,0,0.5,0.7,-0.2,2016,REG,13,2016120412
1048,A.Boldin,Anquan Boldin,DET,WR,4.3,1.7,6.5,12.9,4,6,66.67,40,0,2.4,4.1,-1.7,2016,REG,13,2016120407
1049,A.Robinson,Allen Robinson,JAX,WR,4.3,2.4,10.8,36.5,3,10,30,31,0,5.7,6.8,-1.1,2016,REG,13,2016120405
1050,J.Gresham,Jermaine Gresham,ARI,TE,4.2,4.1,4.3,7.96,5,6,83.33,52,0,5.5,5,0.5,2016,REG,13,2016120409
1051,L.Kendricks,Lance Kendricks,LA,TE,4.1,2.9,4.9,9.24,2,5,40,13,0,2.8,3.2,-0.4,2016,REG,13,2016120406
1052,W.Snead,Willie Snead,NO,WR,4.1,1.5,9.9,17.93,2,6,33.33,38,0,2.4,3.5,-1.1,2016,REG,13,2016120407
1053,D.Bryant,Dez Bryant,DAL,WR,4,2.8,14,57.99,4,6,66.67,84,1,6.6,6.1,0.4,2016,REG,13,2016120100
1054,C.Fiedorowicz,C.J. Fiedorowicz,HOU,TE,4,2,6.3,19.41,6,9,66.67,44,0,2.4,2.9,-0.5,2016,REG,13,2016120404
1055,C.Brate,Cameron Brate,TB,TE,3.9,2,10.4,31.68,6,9,66.67,86,1,4.1,2.9,1.2,2016,REG,13,2016120411
1056,B.Walters,Bryan Walters,JAX,WR,3.8,3,6.4,12.97,3,6,50,31,0,7.1,7.5,-0.4,2016,REG,13,2016120405
1057,J.Jones,Julio Jones,ATL,WR,3.6,2.9,12.7,44.37,7,9,77.78,113,0,3.9,7.4,-3.6,2016,REG,13,2016120400
1058,A.Roberts,Andre Roberts,DET,WR,3.5,2,14,32.49,4,7,57.14,35,0,2.9,4,-1.2,2016,REG,13,2016120407
1059,D.Thomas,Demaryius Thomas,DEN,WR,3.1,2.1,10.6,36.04,6,10,60,61,0,2.4,4.3,-1.8,2016,REG,13,2016120405
1060,T.Kelce,Travis Kelce,KC,TE,3.1,3.5,6.5,26.79,8,8,100,140,0,11,6.6,4.4,2016,REG,13,2016120400
1061,E.Ebron,Eric Ebron,DET,TE,3,2,10.5,20.89,4,6,66.67,38,0,2.8,4.5,-1.7,2016,REG,13,2016120407
1062,R.Griffin,Ryan Griffin,HOU,TE,2.9,2.4,10.8,22.23,4,6,66.67,35,1,4.7,5,-0.3,2016,REG,13,2016120404
1063,J.Bellamy,Josh Bellamy,CHI,WR,2.8,1.7,20.2,54.08,4,6,66.67,93,0,3.2,3.6,-0.4,2016,REG,13,2016120402
1064,N.Sterling,Neal Sterling,JAX,TE,2.7,4.4,5.5,11.14,5,6,83.33,43,0,4.7,7,-2.4,2016,REG,13,2016120405
1065,T.Boyd,Tyler Boyd,CIN,WR,2.7,2.5,11,22.12,4,6,66.67,66,0,3.2,5.9,-2.7,2016,REG,13,2016120403
1066,K.Britt,Kenny Britt,LA,WR,2.6,1.8,19.7,44.46,2,6,33.33,67,1,13.1,6.3,6.8,2016,REG,13,2016120406
1067,T.Hill,Tyreek Hill,KC,WR,13.2,3.5,7.7,22.09,6,6,100,66,1,3.3,4,-0.7,2016,REG,14,2016120800
1068,T.Gabriel,Taylor Gabriel,ATL,WR,8.8,3.6,12.7,44.74,3,6,50,82,1,11,9.9,1.1,2016,REG,14,2016121112
1069,D.Brown,Daniel Brown,CHI,TE,8.7,4.1,4.4,10.68,6,6,100,42,0,2.6,3.5,-0.9,2016,REG,14,2016121103
1070,A.Robinson,Aldrick Robinson,ATL,WR,8.6,1.8,11,38.45,3,6,50,42,0,2.9,4.3,-1.4,2016,REG,14,2016121112
1071,P.Dorsett,Phillip Dorsett,IND,WR,8.3,2.5,9.3,19.63,3,8,37.5,19,0,1.4,2.5,-1.1,2016,REG,14,2016121104
1072,G.Barnidge,Gary Barnidge,CLE,TE,8.1,1.7,8.3,13.47,3,5,60,27,0,2.5,2,0.5,2016,REG,14,2016121102
1073,J.Kerley,Jeremy Kerley,SF,WR,7.9,3.9,7,27.48,5,8,62.5,50,0,7.3,7.6,-0.4,2016,REG,14,2016121110
1074,W.Snead,Willie Snead,NO,WR,7.8,3.2,8.5,17.67,6,8,75,85,0,4.4,3.5,0.8,2016,REG,14,2016121108
1075,L.Green,Ladarius Green,PIT,TE,7.8,2.8,11.9,24.61,2,6,33.33,25,0,6.7,5.3,1.4,2016,REG,14,2016121100
1076,T.Kelce,Travis Kelce,KC,TE,7.7,1.9,7.8,30.01,5,8,62.5,101,0,9.1,8.8,0.3,2016,REG,14,2016120800
1077,K.Stills,Kenny Stills,MIA,WR,7.4,2.1,14.1,53.3,6,7,85.71,97,1,2.3,3.8,-1.4,2016,REG,14,2016121106
1078,B.Cooks,Brandin Cooks,NO,WR,7.3,2.7,15.5,40.18,5,10,50,61,0,3.1,3.8,-0.8,2016,REG,14,2016121108
1079,Q.Enunwa,Quincy Enunwa,NYJ,WR,7.3,2.3,10.3,19.33,3,7,42.86,29,0,4.7,4,0.7,2016,REG,14,2016121110
1080,R.Anderson,Robby Anderson,NYJ,WR,7.2,1.6,18.4,54.15,6,11,54.55,99,0,1.3,3.5,-2.2,2016,REG,14,2016121110
1081,A.Gates,Antonio Gates,LAC,TE,7.1,1.8,10.7,19.15,5,9,55.56,61,0,4.2,3.6,0.6,2016,REG,14,2016121101
1082,M.Lee,Marqise Lee,JAX,WR,7.1,3,19.3,49.58,5,8,62.5,113,0,9.4,5.5,3.9,2016,REG,14,2016121105
1083,D.Walker,Delanie Walker,TEN,TE,7.1,1.6,13.6,40.29,2,7,28.57,30,0,2.8,5.8,-3,2016,REG,14,2016121109
1084,T.Hilton,T.Y. Hilton,IND,WR,6.9,1.8,13.4,45.76,9,13,69.23,115,1,1.1,2.6,-1.5,2016,REG,14,2016121104
1085,A.Thielen,Adam Thielen,MIN,WR,6.9,3.2,15.4,31.24,4,5,80,101,0,10.4,11.9,-1.5,2016,REG,14,2016121105
1086,T.Austin,Tavon Austin,LA,WR,6.8,4.6,5.5,24.45,7,11,63.64,62,0,2.5,3.2,-0.7,2016,REG,14,2016121112
1087,D.Pitta,Dennis Pitta,BAL,TE,6.8,3.1,5.5,8.36,4,5,80,18,0,1.1,2.1,-1,2016,REG,14,2016121200
1088,T.Lockett,Tyler Lockett,SEA,WR,6.8,2.5,7.7,11.04,4,6,66.67,41,0,1.3,1.2,0.1,2016,REG,14,2016121111
1089,D.Baldwin,Doug Baldwin,SEA,WR,6.7,2.7,10.8,28.56,6,11,54.55,46,0,4,4.9,-0.8,2016,REG,14,2016121111
1090,T.Boyd,Tyler Boyd,CIN,WR,6.5,3.1,5.5,18.52,6,6,100,49,0,2.7,2.8,-0.1,2016,REG,14,2016121102
1091,Q.Patton,Quinton Patton,SF,WR,6.5,5.5,5.6,16.44,4,6,66.67,31,0,5.4,6.3,-0.9,2016,REG,14,2016121110
1092,B.Coleman,Brandon Coleman,NO,WR,6.5,3.3,11.9,24.54,5,8,62.5,47,0,2.1,3.1,-1,2016,REG,14,2016121108
1093,L.Fitzgerald,Larry Fitzgerald,ARI,WR,6.5,2.5,7.7,30.48,3,9,33.33,12,0,4.6,5.5,-1,2016,REG,14,2016121106
